SampleTime,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
4.600000,952.000000,0.000000,-260.000000,6.000000,0.000000,-16.000000,-339.000000,-1479.000000,793.000000
4.650000,956.000000,3.000000,-265.000000,7.000000,-7.000000,-16.000000,-337.000000,-1483.000000,799.000000
4.700000,951.000000,0.000000,-264.000000,8.000000,-8.000000,-14.000000,-330.000000,-1477.000000,798.000000
4.750000,952.000000,0.000000,-263.000000,7.000000,-6.000000,-16.000000,-331.000000,-1483.000000,792.000000
4.800000,952.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-336.000000,-1480.000000,798.000000
4.850000,954.000000,0.000000,-264.000000,8.000000,-7.000000,-15.000000,-343.000000,-1480.000000,792.000000
4.900000,953.000000,0.000000,-263.000000,7.000000,-7.000000,-15.000000,-331.000000,-1479.000000,804.000000
4.950000,954.000000,0.000000,-265.000000,8.000000,-7.000000,-15.000000,-334.000000,-1491.000000,795.000000
5.000000,953.000000,0.000000,-265.000000,8.000000,-7.000000,-16.000000,-337.000000,-1479.000000,799.000000
5.050000,953.000000,0.000000,-264.000000,7.000000,-7.000000,-16.000000,-330.000000,-1485.000000,790.000000
5.100000,954.000000,1.000000,-264.000000,8.000000,-7.000000,-16.000000,-333.000000,-1483.000000,798.000000
5.150000,954.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-327.000000,-1479.000000,789.000000
5.200000,953.000000,1.000000,-265.000000,8.000000,-7.000000,-15.000000,-334.000000,-1476.000000,804.000000
5.250000,953.000000,0.000000,-265.000000,8.000000,-8.000000,-15.000000,-331.000000,-1479.000000,799.000000
5.300000,952.000000,0.000000,-263.000000,7.000000,-7.000000,-15.000000,-342.000000,-1488.000000,798.000000
5.350000,952.000000,1.000000,-264.000000,7.000000,-7.000000,-15.000000,-324.000000,-1476.000000,796.000000
5.400000,954.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-333.000000,-1482.000000,796.000000
5.450000,954.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-343.000000,-1474.000000,795.000000
5.500000,952.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-337.000000,-1473.000000,801.000000
5.550000,953.000000,1.000000,-263.000000,7.000000,-7.000000,-15.000000,-343.000000,-1483.000000,798.000000
5.600000,952.000000,1.000000,-263.000000,7.000000,-7.000000,-15.000000,-346.000000,-1470.000000,802.000000
5.650000,953.000000,1.000000,-264.000000,7.000000,-7.000000,-15.000000,-328.000000,-1474.000000,805.000000
5.700000,953.000000,0.000000,-263.000000,7.000000,-7.000000,-16.000000,-336.000000,-1477.000000,801.000000
5.750000,953.000000,1.000000,-264.000000,8.000000,-7.000000,-15.000000,-339.000000,-1480.000000,790.000000
5.800000,953.000000,1.000000,-263.000000,7.000000,-7.000000,-14.000000,-339.000000,-1483.000000,798.000000
5.850000,964.000000,0.000000,-257.000000,7.000000,-5.000000,-14.000000,-336.000000,-1477.000000,795.000000
5.900000,971.000000,1.000000,-266.000000,8.000000,-4.000000,-14.000000,-339.000000,-1480.000000,805.000000
5.950000,948.000000,1.000000,-264.000000,7.000000,-8.000000,-16.000000,-334.000000,-1477.000000,795.000000
6.000000,953.000000,1.000000,-264.000000,8.000000,-7.000000,-15.000000,-339.000000,-1488.000000,796.000000
6.050000,952.000000,0.000000,-263.000000,8.000000,-7.000000,-15.000000,-331.000000,-1482.000000,796.000000
6.100000,953.000000,0.000000,-265.000000,8.000000,-7.000000,-15.000000,-339.000000,-1479.000000,799.000000
6.150000,950.000000,0.000000,-267.000000,7.000000,-7.000000,-15.000000,-334.000000,-1477.000000,795.000000
6.200000,952.000000,2.000000,-263.000000,7.000000,-7.000000,-16.000000,-331.000000,-1476.000000,787.000000
6.250000,953.000000,0.000000,-264.000000,7.000000,-6.000000,-15.000000,-336.000000,-1479.000000,802.000000
6.300000,953.000000,0.000000,-263.000000,7.000000,-7.000000,-15.000000,-336.000000,-1476.000000,801.000000
6.350000,952.000000,1.000000,-263.000000,8.000000,-7.000000,-14.000000,-330.000000,-1485.000000,796.000000
6.400000,953.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-339.000000,-1480.000000,792.000000
6.450000,954.000000,0.000000,-263.000000,7.000000,-7.000000,-16.000000,-346.000000,-1474.000000,792.000000
6.500000,951.000000,1.000000,-263.000000,7.000000,-6.000000,-16.000000,-336.000000,-1473.000000,801.000000
6.550000,954.000000,1.000000,-264.000000,7.000000,-7.000000,-16.000000,-337.000000,-1485.000000,802.000000
6.600000,949.000000,0.000000,-265.000000,7.000000,-7.000000,-15.000000,-336.000000,-1477.000000,790.000000
6.650000,952.000000,0.000000,-262.000000,7.000000,-5.000000,-16.000000,-339.000000,-1480.000000,805.000000
6.700000,951.000000,0.000000,-264.000000,7.000000,-8.000000,-15.000000,-339.000000,-1476.000000,795.000000
6.750000,953.000000,1.000000,-264.000000,7.000000,-7.000000,-15.000000,-334.000000,-1483.000000,792.000000
6.800000,954.000000,0.000000,-263.000000,7.000000,-7.000000,-15.000000,-327.000000,-1479.000000,804.000000
6.850000,954.000000,0.000000,-263.000000,7.000000,-7.000000,-15.000000,-336.000000,-1477.000000,789.000000
6.900000,952.000000,0.000000,-264.000000,7.000000,-7.000000,-16.000000,-331.000000,-1479.000000,790.000000
6.950000,953.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-333.000000,-1479.000000,798.000000
7.000000,952.000000,0.000000,-265.000000,7.000000,-8.000000,-15.000000,-340.000000,-1482.000000,807.000000
7.050000,956.000000,0.000000,-264.000000,8.000000,-7.000000,-15.000000,-331.000000,-1471.000000,802.000000
7.100000,957.000000,0.000000,-276.000000,10.000000,-18.000000,-13.000000,-340.000000,-1483.000000,799.000000
7.150000,954.000000,1.000000,-267.000000,8.000000,-6.000000,-14.000000,-334.000000,-1482.000000,807.000000
7.200000,956.000000,1.000000,-266.000000,7.000000,-8.000000,-16.000000,-337.000000,-1479.000000,792.000000
7.250000,955.000000,1.000000,-266.000000,8.000000,-7.000000,-15.000000,-337.000000,-1482.000000,805.000000
7.300000,953.000000,0.000000,-262.000000,8.000000,-7.000000,-14.000000,-336.000000,-1483.000000,802.000000
7.350000,954.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-343.000000,-1482.000000,798.000000
7.400000,953.000000,0.000000,-263.000000,7.000000,-7.000000,-15.000000,-328.000000,-1480.000000,796.000000
7.450000,952.000000,1.000000,-261.000000,7.000000,-7.000000,-16.000000,-330.000000,-1480.000000,810.000000
7.500000,955.000000,0.000000,-265.000000,7.000000,-6.000000,-15.000000,-331.000000,-1480.000000,792.000000
7.550000,953.000000,0.000000,-265.000000,7.000000,-9.000000,-15.000000,-330.000000,-1476.000000,801.000000
7.600000,953.000000,0.000000,-264.000000,8.000000,-6.000000,-15.000000,-337.000000,-1477.000000,804.000000
7.650000,952.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-339.000000,-1471.000000,798.000000
7.700000,952.000000,1.000000,-263.000000,7.000000,-7.000000,-16.000000,-333.000000,-1476.000000,799.000000
7.750000,955.000000,0.000000,-262.000000,7.000000,-5.000000,-15.000000,-339.000000,-1479.000000,796.000000
7.800000,955.000000,0.000000,-266.000000,8.000000,-8.000000,-14.000000,-325.000000,-1474.000000,799.000000
7.850000,952.000000,0.000000,-264.000000,7.000000,-7.000000,-15.000000,-336.000000,-1482.000000,786.000000
